header,header,header,header,header,header,header
bathtub,furniture,nonliving,thesis_stim/bathtub_exemplar1.jpg,0.527778,old,0.001274505
clown,toys,nonliving,thesis_stim/clown_exemplar1.jpg,0.909091,old,0.002208833
manatee,mammal,living,thesis_stim/manatee_exemplar1.jpg,0.52,new,0.009098062
trophy,decor,nonliving,thesis_stim/trophy_exemplar1.jpg,0.3,old,0.011508427
weight bench,sports,nonliving,thesis_stim/weight_bench_exemplar1.jpg,0.545455,old,0.011859952
rainboot,clothing,nonliving,thesis_stim/rainboot_exemplar1.jpg,0.321429,old,0.013460771
calculator,electronics,nonliving,thesis_stim/calculator_exemplar1.jpg,0.28,old,0.013547336
vacuum,appliances,nonliving,thesis_stim/vacuum_exemplar1.jpg,0.488889,old,0.014828275
computer mouse,electronics,nonliving,thesis_stim/computer_mouse_exemplar1.jpg,0.578947,old,0.019402628
scanner,electronics,nonliving,thesis_stim/scanner_exemplar1.jpg,0.4,new,0.019432545
clock,household_items,nonliving,thesis_stim/clock_exemplar1.jpg,0.444444,old,0.020938314
sailor hat,clothing,nonliving,thesis_stim/sailor_hat_exemplar1.jpg,0.4,old,0.022375621
elliptical,sports,nonliving,thesis_stim/elliptical_exemplar1.jpg,0.428571,new,0.022607643
puffin,birds,living,thesis_stim/puffin_exemplar1.jpg,0.416667,new,0.023757315
taxi,vehicle,nonliving,thesis_stim/taxi_exemplar1.jpg,0.285714,new,0.034900563
belt,clothing,nonliving,thesis_stim/belt_exemplar1.jpg,0.653061,old,0.036936421
office building,building,nonliving,thesis_stim/office_building_exemplar1.jpg,0.551724,old,0.037591489
caterpillar,insect,living,thesis_stim/caterpillar_exemplar1.jpg,0.740741,new,0.038948443
jewlery box,decor,nonliving,thesis_stim/jewlery_box_exemplar1.jpg,0.44186,old,0.039696549
file cabinet,furniture,nonliving,thesis_stim/file_cabinet_exemplar1.jpg,0.5,old,0.042676096
music stand,music_inst,nonliving,thesis_stim/music_stand_exemplar1.jpg,0.425926,old,0.045681065
polaroid,electronics,nonliving,thesis_stim/polaroid_exemplar1.jpg,0.407407,old,0.046339071
sarcophagus,decor,nonliving,thesis_stim/sarcophagus_exemplar1.jpg,0.689655,old,0.04690109
stork,birds,living,thesis_stim/stork_exemplar1.jpg,0.793103,new,0.049849261
pincushion,tools,nonliving,thesis_stim/pincushion_exemplar1.jpg,0.333333,old,0.051280645
medal,decor,nonliving,thesis_stim/medal_exemplar1.jpg,0.466667,old,0.052113599
purse,clothing,nonliving,thesis_stim/purse_exemplar1.jpg,0.25,old,0.05390879
toothbrush,household_items,nonliving,thesis_stim/toothbrush_exemplar1.jpg,0.517857,old,0.055961711
geode,decor,nonliving,thesis_stim/geode_exemplar1.jpg,0.814815,old,0.057201651
hockey mask,sports,nonliving,thesis_stim/hockey_mask_exemplar1.jpg,0.7,old,0.059911161
rock-climbing shoe,clothing,nonliving,thesis_stim/rock-climbing_shoe_exemplar1.jpg,0.371429,old,0.065002603
aqueduct,building,nonliving,thesis_stim/aqueduct_exemplar1.jpg,0.54,old,0.066216552
musical keyboard,music_inst,nonliving,thesis_stim/musical_keyboard_exemplar1.jpg,0.563636,new,0.067127864
tricycle,vehicle,nonliving,thesis_stim/tricycle_exemplar1.jpg,0.34,old,0.076040332
cooking pot,kitchen_items,nonliving,thesis_stim/cooking_pot_exemplar1.jpg,0.32,old,0.080538934
rollerblade,sports,nonliving,thesis_stim/rollerblade_exemplar1.jpg,0.457143,old,0.080783565
cricket,insect,living,thesis_stim/cricket_exemplar1.jpg,0.727273,old,0.080908947
raft,vehicle,nonliving,thesis_stim/raft_exemplar1.jpg,0.458333,old,0.081230445
tray,kitchen_items,nonliving,thesis_stim/tray_exemplar1.jpg,0.4,old,0.081324633
wetsuit,clothing,nonliving,thesis_stim/wetsuit_exemplar1.jpg,0.326531,old,0.085622995
sidewalk,street_items,nonliving,thesis_stim/sidewalk_exemplar1.jpg,0.8,old,0.088120882
