object,category,type,path,m_score,recogntion
lantern,tools,nonliving,thesis_stim/lantern_exemplar1.jpg,0.555556,new
seahorse,sea,living,thesis_stim/seahorse_exemplar1.jpg,0.94,old
hot air balloon,vehicle,nonliving,thesis_stim/hot_air_balloon_exemplar1.jpg,0.62069,new
mosque,building,nonliving,thesis_stim/mosque_exemplar1.jpg,0.482143,new
nesting dolls,toys,nonliving,thesis_stim/nesting_dolls_exemplar1.jpg,0.666667,old
computer keyboard,electronics,nonliving,thesis_stim/computer_keyboard_exemplar1.jpg,0.457143,old
muffin tin,kitchen_items,nonliving,thesis_stim/muffin_tin_exemplar1.jpg,0.48,new
scissors,office_supplies,nonliving,thesis_stim/scissors_exemplar1.jpg,0.306122,old
bench,street_items,nonliving,thesis_stim/bench_exemplar1.jpg,0.714286,old
pinata,decor,nonliving,thesis_stim/pinata_exemplar1.jpg,0.6,old
toy phone,toys,nonliving,thesis_stim/toy_phone_exemplar1.jpg,0.603774,old
packing tape,office_supplies,nonliving,thesis_stim/packing_tape_exemplar1.jpg,0.361111,old
eagle,birds,living,thesis_stim/eagle_exemplar1.jpg,0.78,new
lawnmower,appliances,nonliving,thesis_stim/lawnmower_exemplar1.jpg,0.5,old
weight bench,sports,nonliving,thesis_stim/weight_bench_exemplar1.jpg,0.545455,old
gas station,building,nonliving,thesis_stim/gas_station_exemplar1.jpg,0.527778,old
skirt,clothing,nonliving,thesis_stim/skirt_exemplar1.jpg,0.454545,old
pen,office_supplies,nonliving,thesis_stim/pen_exemplar1.jpg,0.2,old
vase,household_items,nonliving,thesis_stim/vase_exemplar1.jpg,0.5,old
percussion instrument,music_inst,nonliving,thesis_stim/percussion_instrument_exemplar1.jpg,0.527273,old
piggybank,decor,nonliving,thesis_stim/piggybank_exemplar1.jpg,0.166667,old
penguin,birds,living,thesis_stim/penguin_exemplar1.jpg,0.821429,old
ostrich,birds,living,thesis_stim/ostrich_exemplar1.jpg,0.842105,new
tambourine,music_inst,nonliving,thesis_stim/tambourine_exemplar1.jpg,0.64,new
clown,toys,nonliving,thesis_stim/clown_exemplar1.jpg,0.909091,old
toy wagon,toys,nonliving,thesis_stim/toy_wagon_exemplar1.jpg,0.693878,old
satellite dish,tools,nonliving,thesis_stim/satellitedish_exemplar1.jpg,0.24,old
kayak,sports,nonliving,thesis_stim/kayak_exemplar1.jpg,0.55102,new
car,vehicle,nonliving,thesis_stim/car_exemplar1.jpg,0.34,old
hairbrush,household_items,nonliving,thesis_stim/hairbrush_exemplar1.jpg,0.488889,old
ladder,furniture,nonliving,thesis_stim/ladder_exemplar1.jpg,0.454545,old
helicopter,vehicle,nonliving,thesis_stim/helicopter_exemplar1.jpg,0.596154,old
computer mouse,electronics,nonliving,thesis_stim/computer_mouse_exemplar1.jpg,0.578947,old
