object,category,type,path,m_score,recognition
recycling bin,street_items,nonliving,thesis_stim/recycling_bin_exemplar1.jpg,0.583333,old
cigarette,household_items,nonliving,thesis_stim/cigarette_exemplar1.jpg,0.75,old
bottle,kitchen_items,nonliving,thesis_stim/bottle_exemplar1.jpg,0.363636,old
space shuttle,vehicle,nonliving,thesis_stim/space_shuttle_exemplar1.jpg,0.557692,old
scale,household_items,nonliving,thesis_stim/scale_exemplar1.jpg,0.309524,new
greenhouse,building,nonliving,thesis_stim/greenhouse_exemplar1.jpg,0.886364,old
dice,sports,nonliving,thesis_stim/dice_exemplar1.jpg,0.56,old
beetle,insect,living,thesis_stim/beetle_exemplar1.jpg,0.745455,old
octopus,sea,living,thesis_stim/octopus_exemplar1.jpg,0.930233,new
broom,tools,nonliving,thesis_stim/broom_exemplar1.jpg,0.305556,old
firewood,household_items,nonliving,thesis_stim/firewood_exemplar1.jpg,0.489796,new
tarantula,insect,living,thesis_stim/tarantula_exemplar1.jpg,0.553191,new
clamp,tools,nonliving,thesis_stim/clamp_exemplar1.jpg,0.5,new
chess bishop,toys,nonliving,thesis_stim/chess_bishop_exemplar1.jpg,0.642857,old
puffin,birds,living,thesis_stim/puffin_exemplar1.jpg,0.416667,new
teddybear,toys,nonliving,thesis_stim/teddybear_exemplar1.jpg,0.688889,old
washboard,tools,nonliving,thesis_stim/washboard_exemplar1.jpg,0.367347,old
chalice,decor,nonliving,thesis_stim/chalice_exemplar1.jpg,0.92,old
windmill,building,nonliving,thesis_stim/windmill_exemplar1.jpg,0.422222,new
microwave,appliances,nonliving,thesis_stim/microwave_exemplar1.jpg,0.466667,old
air conditioner,street_items,nonliving,thesis_stim/air_conditioner_exemplar1.jpg,0.491228,old
flag,street_items,nonliving,thesis_stim/flag_exemplar1.jpg,0.38,old
purse,clothing,nonliving,thesis_stim/purse_exemplar1.jpg,0.25,old
religious statue,decor,nonliving,thesis_stim/religious_statue_exemplar1.jpg,0.342857,old
vase,household_items,nonliving,thesis_stim/vase_exemplar1.jpg,0.5,old
rubber duck,toys,nonliving,thesis_stim/rubber_duck_exemplar1.jpg,0.666667,old
cash register,office_supplies,nonliving,thesis_stim/cash_register_exemplar1.jpg,0.62,old
nesting dolls,toys,nonliving,thesis_stim/nesting_dolls_exemplar1.jpg,0.666667,old
raft,vehicle,nonliving,thesis_stim/raft_exemplar1.jpg,0.458333,old
umbrella,household_items,nonliving,thesis_stim/umbrella_exemplar1.jpg,0.340909,new
bench,street_items,nonliving,thesis_stim/bench_exemplar1.jpg,0.714286,old
beanie,clothing,nonliving,thesis_stim/beanie_exemplar1.jpg,0.407407,old
pagoda,building,nonliving,thesis_stim/pagoda_exemplar1.jpg,0.590909,old
old camera,electronics,nonliving,thesis_stim/old_camera_exemplar1.jpg,0.310345,old
bear,mammal,living,thesis_stim/bear_exemplar1.jpg,0.8,old
wetsuit,clothing,nonliving,thesis_stim/wetsuit_exemplar1.jpg,0.326531,old
salmon,sea,living,thesis_stim/salmon_exemplar1.jpg,0.533333,old
picnic table,street_items,nonliving,thesis_stim/picnic_table_exemplar1.jpg,0.574074,old
piggybank,decor,nonliving,thesis_stim/piggybank_exemplar1.jpg,0.166667,old
booster seat,furniture,nonliving,thesis_stim/booster_seat_exemplar1.jpg,0.622222,old
crow,birds,living,thesis_stim/crow_exemplar1.jpg,0.857143,old
castle,building,nonliving,thesis_stim/castle_exemplar1.jpg,0.357143,old
percussion instrument,music_inst,nonliving,thesis_stim/percussion_instrument_exemplar1.jpg,0.527273,new
gorilla,mammal,living,thesis_stim/gorilla_exemplar1.jpg,0.886792,old
rattle,toys,nonliving,thesis_stim/rattle_exemplar1.jpg,0.305556,old
